,error-test,error-train,fold,l2reg,model,n_samples-test,n_samples-train,site_index,std-test,std-train
227,213.325901007,131.539345878,5,0.0,nam,64,579,7,315.748294629,232.714685925
228,140.188789523,132.760648808,6,0.0,mix,64,579,7,206.541030617,229.686592263
229,193.193273016,173.334557258,6,0.0,hrrr,64,579,7,278.536235756,324.620121107
230,152.075455008,140.628915922,6,0.0,nam,64,579,7,227.222351957,248.526504377
231,75.1019264957,138.582401376,7,0.0,mix,64,579,7,66.192392852,227.377441321
232,51.4907168004,184.058117638,7,0.0,hrrr,64,579,7,80.4535050602,328.700264735
233,52.1839006452,148.431238618,7,0.0,nam,64,579,7,71.8743257117,252.590278507
234,126.694566987,134.23953051,8,0.0,mix,65,578,7,187.42576191,230.589127234
235,156.038353843,177.458382938,8,0.0,hrrr,65,578,7,235.66432902,327.069309551
236,137.576662233,142.277789544,8,0.0,nam,65,578,7,208.943526344,249.953303739
237,161.464340089,130.005152263,9,0.0,mix,64,579,7,275.834524615,217.840765058
238,187.334787517,174.043923547,9,0.0,hrrr,64,579,7,337.008787234,318.936344962
239,166.503248321,138.810764766,9,0.0,nam,64,579,7,291.157548006,239.846241503
240,154.056550391,147.854898205,0,0.0,mix,70,625,8,179.166608128,221.675607806
241,213.170562401,183.99353144,0,0.0,hrrr,70,625,8,273.672734404,310.238819693
242,196.097788005,177.891350278,0,0.0,nam,70,625,8,212.010149009,280.5215503
243,118.654077714,151.030771853,1,0.0,mix,69,626,8,143.092146628,219.965634262
244,138.619117849,191.736546887,1,0.0,hrrr,69,626,8,197.643415491,313.755333415
245,152.216456036,182.594967073,1,0.0,nam,69,626,8,218.151373882,280.076338425
246,109.349089945,151.832098002,2,0.0,mix,69,626,8,118.152584289,219.667884283
247,119.951176404,193.119005253,2,0.0,hrrr,69,626,8,155.192863946,314.42281878
248,114.305736833,185.619575944,2,0.0,nam,69,626,8,165.271361317,281.569261799
249,137.425579068,149.292329938,3,0.0,mix,70,625,8,173.682234479,218.224288067
250,153.405160538,190.544946656,3,0.0,hrrr,70,625,8,224.110443088,313.070104883
251,148.838975929,182.951027039,3,0.0,nam,70,625,8,226.253487428,279.663174066
252,106.434601821,152.502068582,4,0.0,mix,70,625,8,100.531923321,217.668329913
253,63.9987460613,196.174296786,4,0.0,hrrr,70,625,8,115.379336288,314.365696779
254,59.3222411526,188.568492835,4,0.0,nam,70,625,8,102.951836647,281.814724581
255,184.085156635,145.533835098,5,0.0,mix,69,626,8,259.751212279,212.500428658
256,281.080554712,173.702387993,5,0.0,hrrr,69,626,8,439.454941774,272.846096467
257,129.763272563,184.496031501,5,0.0,nam,69,626,8,225.649070885,279.445731059
258,154.21522895,147.622580261,6,0.0,mix,69,626,8,201.908997859,218.262228655
259,177.721284904,188.147499502,6,0.0,hrrr,69,626,8,242.196215402,312.272143405
260,208.884573378,176.310592206,6,0.0,nam,69,626,8,281.095086415,274.882645509
261,195.157183734,142.129810358,7,0.0,mix,70,625,8,273.948018616,203.8394922
262,190.626425261,186.743632112,7,0.0,hrrr,70,625,8,295.165805079,308.477826423
263,235.661825032,172.430076646,7,0.0,nam,70,625,8,339.988658349,264.03176935
264,159.763138525,146.88096961,8,0.0,mix,70,625,8,269.454456135,206.895419452
265,212.516711838,184.07822584,8,0.0,hrrr,70,625,8,312.653199277,306.476759937
266,182.591677367,179.494206444,8,0.0,nam,70,625,8,271.632609937,276.128120202
267,193.688579999,142.946564144,9,0.0,mix,69,626,8,268.494479422,210.863272922
268,227.4600016,182.14862824,9,0.0,hrrr,69,626,8,360.209080517,299.068187206
269,271.527300099,166.638292417,9,0.0,nam,69,626,8,368.137689467,254.253868181
270,32.732284412,73.7096073082,0,0.0,mix,63,566,9,51.3801782765,150.569002442
271,39.2271475333,137.257864754,0,0.0,hrrr,63,566,9,65.7587371714,310.546316048
272,36.453033096,79.1239585978,0,0.0,nam,63,566,9,63.4613574736,162.364522536
273,20.3672977193,74.1907273088,1,0.0,mix,63,566,9,26.745893093,150.960053591
274,32.8194222944,137.444923596,1,0.0,hrrr,63,566,9,42.8335431167,310.545499936
275,32.0693945232,79.3349549392,1,0.0,nam,63,566,9,41.2526459684,162.431185825
276,22.1980697252,74.135955535,2,0.0,mix,63,566,9,29.5317354892,150.967063688
277,35.0787402032,137.382793939,2,0.0,hrrr,63,566,9,44.7701499685,310.54994863
278,34.7883997771,79.2073283681,2,0.0,nam,63,566,9,43.701910961,162.438497973
279,33.5859006707,73.6553289818,3,0.0,mix,63,566,9,70.9713382849,150.713446551
280,41.0854698045,137.197336596,3,0.0,hrrr,63,566,9,81.8566117148,310.526747738
